gender,noun,plural,translation
die,Farbe,n,the color
das,Modalverb,en,the modal verb
die,Firmenfeier,n,the company party
der,Geburtstag,e,the birthday
der,Student,en,the student
der,Montag,e,the Monday
das,Stichwort,eer,the keyword
das,Formular,e,the form
der,Apfelkuchen,,the Apple pie
die,Spaghetti,s,the spaghetti
die,Bitte,n,the request
die,Freizeitaktivität,en,the freetime activity
der,Schreibdialog,e,the writing dialogue
der,Grieche,n,the Greek
der,Platz,e,the space
der,Herr,en,the gentleman
der,Fehler,,the error
das,Olivenöl,e,olive oil
die,Aussage,n,the statement
die,Kaffeespezialität,en,the coffee specialty
der,Lieblingsfilm,e,the favorite film
der,Journalist,en,the journalist
der,Nachmittag,e,the afternoon
die,Firma,Firmen,the Company
das,Sprechtraining,s,the speaking training
der,Kursraum,e,the classroom
der,Satzakzent,e,the sentence accent
die,Spezialität,en,the specialty
der,Notruf,e,the emergency call
das,Geld,er,the money
der,Terminkalender,,the appointment calendar
der,Käufer,er,the buyer
die,Lieblingsfarbe,n,the favorite color
die,Uhrzeit,en,the time
der,Computer,,the computer
der,Kartoffelsalat,e,the potato salad
das,Satzende,n,the end of the sentence
die,Wohnungsbesichtigung,en,the apartment inspection
der,Salat,e,the salad
die,Schwester,n,the sister
die,Lücke,n,the gap
der,Kurs,e,the course
die,Reihe,en,the series
der,Vormittag,e,the morning
die,Zitro,s,the lemon
der,Beruf,e,the job
die,Cola,s,The cola
der,Lehrer,,the teacher
der,Monitor,Monitore,the display
der,Teller,,the dish
die,Verpackung,en,the packaging
der,Papa,s,the dad
die,Möglichkeit,en,the possibility
das,Paar,e,the couple
die,Schauspielerin,nen,the actress
der,Spanier,,the Spaniard
der,Wohnort,e,the place of residence
der,Buchstabe,n,the letter
die,Bohne,n,the bean
das,Heft,e,the magazine
der,Film,e,the film
der,Tipp,s,the tip
das,Lieblingslied,er,the favourite song
der,Balkon,es,the balcony
die,Katze,n,the cat
der,Architekt,en,the architect
der,Mittwoch,e,Wednesday
der,Opa,s,the grandpa
die,Kiwi,s,the Kiwi
der,Busfahrer,,the bus driver
die,Anzeige,n,the ad
das,Ratespiel,e,the guessing game
der,Kuchen,,the cake
die,Zitrone,n,the lemon
der,Tee,s,the tea
der,Onkel,,the uncle
die,Pause,n,the break
das,Haustier,e,the pet
der,Filmabend,e,the movie night
die,Verabschiedung,en,the farewell
der,Schreibtisch,e,the desk
der,Ländername,n,The name of the country
der,Einkaufszettel,,the shopping list
der,Coffeetogo,s,the Coffeetogo
das,Team,s,the team
die,Stadt,e,the city
das,Deutschbuch,er,the German Book
der,Radler,,the cyclist
der,Rock,e,the skirt
der,Artikel,,the article
