gender,noun,plural,translation
die,Begrüßung,-en,the greeting
das,Foto,-s,the photo
der,Herr,-en,the gentleman
das,Spanien,(Sg.),the Spain
die,Sprechblase,-n,the speech bubble
der,Kurs,-e,the course
die,Telefonnummer,-n,the telephone number
der,Kurstag,-e,the course day
der,Dialog,-e,the dialogue
die,Tageszeit,-en,the daytime
das,Beispiel,-e,the example
das,Verb,-en,the verb
die,Lücke,-n,the gap
der,Fokus,(Sg.),the focus
das,Personalpronomen,-,the personal pronoun
die,Tabelle,-n,the table
die,Aussprache,(Sg.),the pronunciation
die,Satzmelodie,-n,intonation
der,Ländername,-n,The name of the country
das,Indien,(Sg.),the India
der,Name,-n,the name
die,Person,-en,the person
die,Stadt,-e,the city
das,Syrien,(Sg.),the Syria
die,USA,(Pl.),the USA
der,Irak,(Sg.),Iraq
der,Städtename,-n,the city name
die,Türkei,(Sg.),Turkey
das,Abc,-s,the alphabet
der,Rhythmus,Rhythmen,the rhythm
das,Ratespiel,-e,the guessing game
die,Form,-en,form
die,Verbform,-en,the verb form
der,Text,-e,the text
der,Satz,-e,the sentence
die,Kursliste,-n,the course list
die,Anmeldung,-en,the registration
die,Firma,Firmen,the Company
die,Dienstleistung,-en,the service
der,Familienname,-n,the family name
das,Formular,-e,the form
die,Hausnummer,-n,the House number
die,Herkunft,(Sg.),the origin
der,Ort,-e,the place
die,Straße,-n,the street
das,Telefon,-e,the phone
der,Vorname,-n,the first name
das,Wort,-er/-e,the word
die,Zahl,-en,the number
die,Antwort,-en,the answer
die,Frage,-n,the question
das,Kapitel,-,the chapter
die,Position,-en,the position
die,W-Frage,-n,the W-question
der,Satzanfang,-e,the beginning of the sentence
die,Kontrolle,-n,the control
das,Bild,-er,the picture
das,Herkunftsland,-er,country of origin
die,Sprache,-n,the language
der,Vorhang,-e,the curtain
der,Wohnort,-e,the place of residence
das,Telefongespräch,-e,the phone call
das,Problem,-e,the problem
das,Handy,-s,the phone
die,Vorwahl,-en,the code
der,Wortakzent,-e,the word accent
der,Telefonanruf,-e,the phone call
das,Zahlenpaar,-e,the pair of numbers
der,Zettel,-,the note
die,Ziffer,-n,the number
die,Party,-s,the party
die,E-Mail,-s,the e-mail
die,E-Mail-Adresse,-n,the E-Mail adress
die,Handynummer,-n,the mobile number
der,Skype-Name,-n,the Skype name
die,Ja/Nein-Frage,-n,the yes/no question
der,Spanier,-,the Spaniard
der,Grieche,-n,the Greek
die,Information,-en,the information
die,Nationalität,-en,the nationality
das,Italien,(Sg.),Italy
die,Silbe,-n,the syllable
der,Steckbrief,-e,the profile
der,Franzose,-n,the Frenchman
die,Gruppe,-n,the group
der,Beruf,-e,the job
der,Deutschkurs,-e,the German course
das,Jahr,-e,the year
die,Leute,(Pl.),the people
der,Brasilianer,-,the Brazilian
die,Nachricht,-en,the message
das,Alter,(Sg.),the age
das,Büro,-s,the office
der,Sohn,-e,the son
das,Team,-s,the team
die,Aufgabe,-n,the task
das,Wörterbuch,-er,the dictionary
der,Student,-en,the student
das,Gespräch,-e,the conversation
das,Element,-e,the element
das,Feld,-er,the field
die,Münze,-en,the coin
die,Reihe,-en,the series
die,Verabschiedung,-en,the farewell
die,Schweiz,(Sg.),Switzerland
das,Fragewort,-e,the question word
der,Dominostein,-e,the domino
das,Europa,(Sg.),Europe
die,Feuerwehr,-en,the fire department
der,Notruf,-e,the emergency call
der,Bleistift,-e,the pencil
die,Brille,-n,the glasses
der,Kuli,-s,ballpen
die,Lampe,-n,the lamp
der,Laptop,-s,the laptop
die,Maus,-e,the mouse
die,Schere,-n,the scissors
der,Spitzer,-,the sharpener
die,Tasse,-n,the cup
das,Deutschbuch,-er,the German Book
das,Post-it,-s,the post-it
der,Artikel,-,the article
das,Buch,-er,the book
das,Fenster,-,the window
das,Poster,-,the poster
der,Stuhl,-e,the chair
das,Tablet,-s,the tablet
die,Tafel,-n,the whiteboard
der,Tisch,-e,the table
der,Kursraum,-e,the classroom
der,Computer,-,the computer
der,Hammer,-er,the hammer
die,Katze,-n,the cat
der,Tipp,-s,the tip
die,Zange,-n,the forceps
das,Heft,-e,the magazine
die,Seite,-n,the page
die,Vorderseite,-n,the front
der,Possessivartikel,-,the possessive article
der,Schirm,-e,the screen
das,Auto,-s,the car
der,Hund,-e,the dog
das,Fahrrad,-er,the bike
das,Zeichen-Rätsel,-,the drawing puzzle
die,Zeichnung,-en,the drawing
das,Kabel,-,the cable
der,Kalender,-,the calendar
der,Marker,-,the marker
der,Monitor,Monitore(n),the display
der,Schlüssel,-,the key
der,Schreibtisch,-e,the desk
der,USB-Stick,-s,the USB stick
die,Aussage,-n,the statement
die,Reaktion,-en,the reaction
der,Vokal,-e,the vocal
der,Ordner,-,the folder
die,Bitte,-n,the request
die,Anweisung,-en,the instruction
die,Liste,-n,the list
die,Hilfe,-n,the help
die,Situation,-en,the situation
der,Termin,-e,the appointment
die,Büronummer,-n,the office number
die,Cola,-s,The cola
das,Wasser,(Sg.),the water
die,Cafeteria,-en,the cafeteria
die,Bedienung,-en,the service
der,Gast,-e,the guest
das,Getränk,-e,the drink
die,Speise,-n,the food
der,Kaffee,-s,the coffee
der,Kuchen,-,the cake
die,Pizza,Pizzen/-s,the pizza
der,Feierabend,-e,the end of work
das,Spiel,-e,the game
der,Apfel,-,the Apple
der,Apfelkuchen,-,the Apple pie
die,Banane,-n,the banana
die,Brezel,-n,the pretzel
das,Brötchen,-,the bread bun
der,Cent,-s,cent
der,Euro,-s,the Euro
das,Käsebrötchen,-,the cheese sandwich
der,Käsekuchen,-,the cheesecake
die,Kiwi,-s,the Kiwi
die,Milch,(Sg.),the milk
die,Minipizza,-pizzen/-s,the mini pizza
das,Obst,(Sg.),the fruit
die,Preisliste,-n,the pricelist
das,Schinkenbrötchen,-,the ham sandwich
die,Speisekarte,-n,the menu
der,Tee,-s,the tea
der,Käse,(Sg.),the cheese
das,Kompositum,Komposita,the composite
der,Saft,-e,the juice
der,Preis,-e,the price
der,Akkusativ,-e,the accusative
der,Nominativ,-e,The nominative
der,Mund,-er,the mouth
das,Kursfest,-e,the course festival
das,Brot,-e,the bread
der,Zucker,(Sg.),the sugar
der,Plural,(Sg.),the plural
der,Singular,(Sg.),the singular
das,Essen,(Sg.),the food
das,Fest,-e,the party
der,Kaffeefleck,-e/-en,the coffee stain
das,Thema,Themen,the topic
die,Artikelgymnastik,-en,the article gymnastics
die,Artikel-Plural-Spiel,-e,the article plural game
der,Gegenstand,-e,the object
das,Tuch,-e,the cloth
der,Buchstabensalat,-e,the alphabet salad
der,Kursteilnehmer,-,the course member
der,Cappuccino,-/-s/-i,the cappuccino
das,Einkaufsspiel,-e,the shopping game
der,Käufer,-er,the buyer
die,Rolle,-n,the role
der,Verkaufsdialog,-e,the sales dialogue
das,Blatt,-er,the leaf
die,Dialogzeile,-en,the dialogue line
der,Schreibdialog,-e,the writing dialogue
das,Alsterwasser,-,the Alster water
die,Brause,-n,the shower
das,Kracherl.,-,the cracker.
die,Landeskunde,-en,the regional studies
die,Limonade,-en,the lemonade
die,Möglichkeit,-en,the possibility
das,Ost-D,(Sg.),the East D
die,Pause,-n,the break
das,Radl,-n,the bike
der,Radler,-,the cyclist
die,Schrippe,-en,the rib
die,Semmel,-n,the roll
der,Sprudel,-,The sparkling water
das,Süd-D,(Sg.),the south D
das,Velo,-s,the Velo
der,Weck,-e,the wake-up call
das,Weggli,-/-s,the path
das,Ziel,-e,the goal
der,Langschläfer,-,the late riser
der,Sport,(Sg.),the sport
der,Papa,-s,the dad
der,Sonntag,-e,Sunday
der,Terminkalender,-,the appointment calendar
der,Bus,-se,the bus
der,Fahrplan,-e,the timetable
die,Uhrzeit,-en,the time
die,Dialognummer,-n,the dialogue number
der,Zeiger,-,the pointer
der,Besuch,-e,the visit
der,Donnerstag,-e,Thursday
der,Freitag,-e,Friday
das,Mittagessen,-,the lunch
der,Mittwoch,-e,Wednesday
der,Montag,-e,the Monday
der,Samstag,-e,the Saturday
der,Spanischkurs,-e,the Spanish course
die,Woche,-n,the week
der,Wochentag,-e,the weekday
der,Mittag,-e,the midday
das,Abendessen,(Sg.),the dinner
der,Morgen,-,the morning
der,Nachmittag,-e,the afternoon
die,Nacht,-e,the night
der,Tag,-e,the day
der,Vormittag,-e,the morning
die,Wäsche,(Sg.),the laundry
die,Zeitschrift,-en,the magazine
die,Dauer,(Sg.),the duration
