Gender,Noun,Plural,Translation
die,Begrüßung,en,the greeting
das,Foto,s,the photo
die,Frau,en,the woman
der,Herr,en,the gentleman
die,Sprechblase,n,the speech bubble
der,Kurs,e,the course
die,Telefonnummer,n,the telephone number
der,Kurstag,e,the course day
der,Dialog,e,the dialogue
der,Abend,e,the evening
die,Tageszeit,en,the daytime
das,Beispiel,e,the example
das,Verb,en,the verb
die,Lücke,n,the gap
das,Personalpronomen,,the personal pronoun
die,Tabelle,n,the table
die,Satzmelodie,n,intonation
der,Ländername,n,The name of the country
das,Land,er,the country
der,Name,n,the name
die,Person,en,the person
die,Stadt,e,the city
der,Städtename,n,the city name
das,Abc,s,the alphabet
der,Rhythmus,Rhythmen,the rhythm
das,Ratespiel,e,the guessing game
die,Form,en,form
die,Verbform,en,the verb form
der,Text,e,the text
der,Satz,e,the sentence
die,Kursliste,n,the course list
die,Anmeldung,en,the registration
die,Firma,Firmen,the Company
die,Adresse,n,the address
die,Dienstleistung,en,the service
der,Familienname,n,the family name
das,Formular,e,the form
die,Hausnummer,n,the House number
der,Ort,e,the place
die,Postleitzahl,en,the area code
die,Straße,n,the street
das,Telefon,e,the phone
der,Vorname,n,the first name
das,Wort,ere,the word
die,Zahl,en,the number
die,Antwort,en,the answer
die,Frage,n,the question
das,Kapitel,,the chapter
die,Position,en,the position
der,Satzanfang,e,the beginning of the sentence
die,Kontrolle,n,the control
das,Bild,er,the picture
das,Herkunftsland,er,country of origin
die,Sprache,n,the language
der,Vorhang,e,the curtain
der,Wohnort,e,the place of residence
der,Kontakt,e,the contact
das,Telefongespräch,e,the phone call
der,Chef,s,the boss
die,Nummer,n,the number
das,Problem,e,the problem
das,Handy,s,the phone
die,Vorwahl,en,the code
der,Wortakzent,e,the word accent
das,Muster,,the pattern
das,Paar,e,the couple
der,Telefonanruf,e,the phone call
das,Zahlenpaar,e,the pair of numbers
der,Zettel,,the note
die,Ziffer,n,the number
die,Party,s,the party
die,Handynummer,n,the mobile number
der,Freund,e,the boyfriend
der,Deutsche,n,the German
der,Spanier,,the Spaniard
der,Grieche,n,the Greek
die,Information,en,the information
die,Nationalität,en,the nationality
der,Pole,n,the Pole
die,Polin,nen,The polish woman
die,Silbe,n,the syllable
der,Chinese,n,the Chinese
der,Steckbrief,e,the profile
der,Franzose,n,the Frenchman
die,Gruppe,n,the group
der,Beruf,e,the job
der,Busfahrer,,the bus driver
der,Deutschkurs,e,the German course
der,Ingenieur,e,the engineer
das,Jahr,e,the year
der,Lehrer,,the teacher
der,Verkäufer,,the seller
der,Brasilianer,,the Brazilian
die,Nachricht,en,the message
das,Büro,s,the office
der,Gruß,e,the greeting
der,Kollege,n,The colleague
die,Kollegin,nen,The colleague
der,Sohn,e,the son
das,Team,s,the team
die,Aufgabe,n,the task
der,Mann,er,the man
die,Krankenschwester,n,the nurse
das,Wörterbuch,er,the dictionary
der,Student,en,the student
das,Gespräch,e,the conversation
das,Element,e,the element
das,Feld,er,the field
die,Münze,en,the coin
die,Reihe,en,the series
die,Verabschiedung,en,the farewell
das,Fragewort,e,the question word
die,Landkarte,en,the landkarte
der,Dominostein,e,the domino
die,Feuerwehr,en,the fire department
der,Notruf,e,the emergency call
der,Bleistift,e,the pencil
die,Brille,n,the glasses
der,Kuli,s,ballpen
die,Lampe,n,the lamp
der,Laptop,s,the laptop
die,Maus,e,the mouse
die,Schere,n,the scissors
der,Spitzer,,the sharpener
die,Tasse,n,the cup
das,Deutschbuch,er,the German Book
der,Radiergummi,s,the eraser
der,Artikel,,the article
das,Nomen,,Nomen
das,Buch,er,the book
das,Fenster,,the window
das,Poster,,the poster
der,Stuhl,e,the chair
das,Tablet,s,the tablet
die,Tafel,n,the whiteboard
die,Tasche,n,the pocket
der,Tisch,e,the table
der,Kursraum,e,the classroom
der,Computer,,the computer
der,Hammer,er,the hammer
die,Katze,n,the cat
der,Tipp,s,the tip
die,Zange,n,the forceps
das,Heft,e,the magazine
die,Rückseite,n,the backside
die,Seite,n,the page
die,Vorderseite,n,the front
der,Possessivartikel,,the possessive article
der,Schirm,e,the screen
das,Auto,s,the car
der,Hund,e,the dog
das,Fahrrad,er,the bike
die,Zeichnung,en,the drawing
das,Kabel,,the cable
der,Kalender,,the calendar
der,Marker,,the marker
der,Monitor,Monitore,the display
der,Schlüssel,,the key
der,Schreibtisch,e,the desk
die,Aussage,n,the statement
die,Reaktion,en,the reaction
der,Vokal,e,the vocal
die,Markierung,en,the mark
der,Ordner,,the folder
die,Aufforderung,en,the request
die,Bitte,n,the request
die,Anweisung,en,the instruction
die,Liste,n,the list
die,Hilfe,n,the help
die,Situation,en,the situation
der,Termin,e,the appointment
die,Büronummer,n,the office number
die,Cola,s,The cola
die,Cafeteria,en,the cafeteria
die,Bedienung,en,the service
der,Gast,e,the guest
das,Getränk,e,the drink
die,Speise,n,the food
der,Kaffee,s,the coffee
der,Kuchen,,the cake
die,Pizza,Pizzens,the pizza
der,Feierabend,e,the end of work
das,Spiel,e,the game
der,Apfel,,the Apple
der,Apfelkuchen,,the Apple pie
der,Apfelsaft,e,the Apple juice
die,Banane,n,the banana
die,Brezel,n,the pretzel
das,Brötchen,,the bread bun
der,Cent,s,cent
der,Euro,s,the Euro
das,Glas,er,the glass
das,Käsebrötchen,,the cheese sandwich
der,Käsekuchen,,the cheesecake
die,Kiwi,s,the Kiwi
die,Minipizza,pizzens,the mini pizza
die,Preisliste,n,the pricelist
das,Schinkenbrötchen,,the ham sandwich
die,Speisekarte,n,the menu
der,Tee,s,the tea
das,Kompositum,Komposita,the composite
der,Saft,e,the juice
der,Preis,e,the price
der,Akkusativ,e,the accusative
der,Nominativ,e,The nominative
der,Mund,er,the mouth
das,Kursfest,e,the course festival
das,Brot,e,the bread
das,Fest,e,the party
der,Kaffeefleck,een,the coffee stain
das,Thema,Themen,the topic
die,Artikelgymnastik,en,the article gymnastics
der,Gegenstand,e,the object
das,Tuch,e,the cloth
der,Buchstabensalat,e,the alphabet salad
der,Kursteilnehmer,,the course member
der,Cappuccino,si,the cappuccino
das,Einkaufsspiel,e,the shopping game
der,Käufer,er,the buyer
die,Rolle,n,the role
der,Verkaufsdialog,e,the sales dialogue
das,Blatt,er,the leaf
die,Dialogzeile,en,the dialogue line
der,Schreibdialog,e,the writing dialogue
das,Alsterwasser,,the Alster water
die,Brause,n,the shower
die,Landeskunde,en,the regional studies
die,Limonade,en,the lemonade
die,Möglichkeit,en,the possibility
das,Panaché,s,the Panache
die,Pause,n,the break
das,Radl,n,the bike
der,Radler,,the cyclist
die,Schrippe,en,the rib
die,Semmel,n,the roll
der,Sprudel,,The sparkling water
der,Start,s,the start
das,Velo,s,the Velo
der,Weck,e,the wake-up call
das,Weggli,s,the path
das,Ziel,e,the goal
die,Zitro,s,the lemon
der,Langschläfer,,the late riser
der,Papa,s,the dad
der,Sonntag,e,Sunday
der,Terminkalender,,the appointment calendar
der,Bus,se,the bus
der,Fahrplan,e,the timetable
die,Uhrzeit,en,the time
die,Dialognummer,n,the dialogue number
die,Uhr,en,the clock
der,Zeiger,,the pointer
der,Besuch,e,the visit
der,Dienstag,e,The Tuesday
der,Donnerstag,e,Thursday
der,Freitag,e,Friday
der,Friseur,e,the hairdresser
das,Mittagessen,,the lunch
der,Mittwoch,e,Wednesday
der,Montag,e,the Monday
der,Samstag,e,the Saturday
der,Spanischkurs,e,the Spanish course
die,Woche,n,the week
der,Wochentag,e,the weekday
der,Mittag,e,the midday
der,Morgen,,the morning
der,Nachmittag,e,the afternoon
die,Nacht,e,the night
der,Tag,e,the day
der,Vormittag,e,the morning
die,Zeitschrift,en,the magazine
der,Vokalwechsel,,the vowel change
die,Notiz,en,the note
das,Stichwort,eer,the keyword
der,Tagesablauf,e,the daily routine
das,Interview,s,the interview
die,Zeit,en,the time
der,Film,e,the film
die,Zeitung,en,the newspaper
die,Familie,n,the family
die,Freizeitaktivität,en,the freetime activity
das,Geräusch,e,the noise
das,Ende,n,the end
der,Infinitiv,e,the infinitive
das,Wochenende,n,the weekend
die,Aktivität,en,the activity
die,Karte,n,the map
die,Einladung,en,the invitation
der,Filmabend,e,the movie night
die,Haltestelle,n,the bus stop
der,Anrufbeantworter,,the answering machine
das,Kettenspiel,e,the chain game
die,Pantomime,n,the pantomime
die,Karotte,n,the carrot
die,Kartoffel,n,the potato
das,Olivenöl,e,olive oil
